id,name,description,stroke_width,fill,best_for,keywords
outlined,Outlined,"Clean stroke-based icons with no fill, open paths",2px,none,"Documentation, infographics, signage, brand iconography",outline line stroke open clean
filled,Filled,"Solid filled shapes with no stroke, bold presence",0,solid,"Badges, pictograms, compact collateral, campaign assets",solid fill bold flat shape
duotone,Duotone,Two-tone layered icons with primary and 30% opacity secondary,0,dual,"Marketing, landing pages, feature sections",two-tone layer opacity dual color
thin,Thin,"Delicate thin line icons, minimal weight",1-1.5px,none,"Luxury brands, editorial, premium collateral",thin light delicate minimal hairline
bold,Bold,Heavy weight icons with thick strokes,3px,none,"Headers, hero sections, emphasis",bold heavy thick strong impactful
rounded,Rounded,"Rounded line caps and joins, soft corners",2px,none,"Friendly brands, education, wellness collateral",rounded soft friendly warm approachable
sharp,Sharp,"Square line caps, mitered joins, precise edges",2px,none,"Tech brands, fintech collateral, enterprise communications",sharp angular precise crisp exact
flat,Flat,"Solid flat fills, no gradients or shadows",0,solid,"Infographics, campaign systems, brand collateral",flat material simple geometric clean
gradient,Gradient,Linear or radial gradient fills,0,gradient,"Modern brands, SaaS, creative",gradient color transition vibrant modern
glassmorphism,Glassmorphism,Semi-transparent fills simulating frosted glass,1px,semi-transparent,"Experimental campaigns, social visuals, brand graphics",glass frosted transparent blur modern
pixel,Pixel,"Pixel art style on grid, retro 8-bit aesthetic",0,solid,"Gaming, retro, nostalgia",pixel retro 8bit grid blocky
hand-drawn,Hand-drawn,"Irregular strokes, organic sketch-like feel",varies,none,"Artisan, creative, casual",sketch organic hand drawn artistic
isometric,Isometric,"3D isometric projection, 30-degree angles",1-2px,partial,"Tech docs, infographics, diagrams",3d isometric dimensional depth
glyph,Glyph,"Single solid shape, minimal detail, pictogram style",0,solid,"Signage, pictograms, compact collateral",glyph pictogram symbol minimal compact
animated-ready,Animated-ready,Layered icon construction prepared for motion production,2px,varies,"Motion graphics, storyboards, animated collateral",animation motion layered groups timing
